"Gene_name"	"replicate1_timepoint1"	"replicate1_timepoint2"	"replicate1_timepoint3"	"replicate1_timepoint4"	"replicate2_timepoint1"	"replicate2_timepoint2"	"replicate2_timepoint3"	"replicate2_timepoint4"	"replicate3_timepoint1"	"replicate3_timepoint2"	"replicate3_timepoint3"	"replicate3_timepoint4"
VNG1944C	154.880029	681.0846817	133.2828238	126.6796708	128.5472824	874.5899195	145.7592427	115.7387342	199.4109799	282.0094309	125.8948563	97.91893124
VNG1945G	199.2975748	894.9113525	124.7193475	116.7139479	160.2720925	1089.55199	247.958252	143.5990185	242.761193	324.5793635	145.402888	93.78151161
VNG1946G	255.9241319	203.6123277	136.5764686	232.0863561	214.1081338	220.6412259	119.790642	182.5737779	198.1724024	148.4053345	119.3165665	162.7385054
VNG1948H	326.8526737	251.407744	147.1161317	57.11125857	298.0209431	222.3328892	97.34036785	63.42660465	239.4583196	200.6681134	97.5401589	71.71527358
VNG1949G	125.8109545	221.0538002	421.8061031	829.0714918	131.8433665	218.4662302	637.152184	809.4301743	129.8442095	219.0059305	815.2542584	768.4567393
VNG1951G	76.2772515	66.39322945	420.0494926	72.25149154	105.6120301	100.5331325	98.84822209	72.02179874	114.9812793	91.82007015	134.5146843	119.4335133
VNG1952H	37.55724426	44.80820275	145.1399449	54.23653079	41.33838889	51.59573026	72.71208201	58.3880426	61.10315742	54.75148263	96.17913343	70.61196168
VNG1953C	194.1814177	210.2612869	1273.323057	199.3144594	251.0517438	270.0619605	286.4923047	219.9184143	316.6629847	273.4954443	455.0361832	392.7790369
VNG1954H	86.85839462	67.83865534	86.73264483	33.34684225	92.97704078	64.40403801	38.19897396	26.37835427	93.92546157	92.21302337	49.67742977	34.75432489
VNG1956H	2.209249662	1.8308728	26.78831056	3.258024818	5.493473606	4.833323678	4.188483987	4.445790046	5.160739647	4.191501062	11.34187894	11.03311901
VNG1957G	331.2711731	249.287786	207.2800423	77.23435303	337.7112899	245.2911767	137.8848928	96.77002999	324.0944498	245.0718277	132.0194709	103.9871467
VNG1959G	827.3058604	438.2531314	395.0177925	255.2758269	753.4299051	478.6198772	246.1153191	236.5160304	652.7303505	472.8537136	324.6045753	259.5541248
VNG1960H	52.673163	56.66069509	62.35967375	75.31786784	48.34256773	58.60404959	84.60737653	70.83625473	50.16238937	43.74879234	77.12477681	63.99209028
VNG1962C	180.4608145	116.4049654	187.0790213	127.2546164	180.5979448	130.4997393	165.8639659	163.6050737	147.8035835	149.7151786	141.5466492	135.9831918
VNG1963H	8.488169755	5.78170358	48.52636584	12.2655052	10.57493669	9.545814264	8.712046692	13.48556314	9.49576095	7.859064492	18.82751904	22.06623803
VNG1964H	507.1972119	350.8530456	412.8034741	90.84139786	580.6601602	420.49916	294.5341939	151.0086686	639.518857	453.075068	286.0421869	157.2219459
VNG1964a	388.7116643	272.7036855	153.0446923	112.1143834	357.6251317	260.7578124	197.3613655	120.0363312	309.02509	308.0753281	196.4413433	110.6070181
VNG1965H	1404.385127	1099.390936	411.0468636	210.4300735	1512.353284	989.9855223	746.0527677	299.2016701	1719.145591	1006.877146	678.0175232	265.3465123
